,date,title,summary
2031,2017.05.11.,"[포럼]새정부, 공정한 거래질서부터 확립하라",특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로 변해왔는지를...
2032,2017.05.11.,[KOTRA 수출노하우]대범해지는 나이지리아 무역사기,특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로...
2033,2017.05.12.,"보코하람서 풀려난 소녀들, 3년만에 학교로",나이지리아 “103명 9월 복학” 이슬람 극단주의 무장세력 보코하람에 납치됐다가 3년 만에 풀려난 나이지리아 소녀들이 9월부터 학교로 돌아가 공부를 다시 시작한다. 11일 BBC 등에 따르면 이이샤 알하산 나이지리아...
2034,2017.05.15.,"삼성重 '안전 정상화', 9兆 일감 3달 안에 소화","여기에 더해 2주만에 사실상 모든 작업 재개로 오는 8월 설치 지역인 나이지리아 해역으로 출항 예정던 에지나 FPSO(부유식 원유 생산·저장·하역설비, 30억달러)의 작업도 다시 속도를 낼 수 있게 됐다. 삼성중공업..."
2035,2017.05.15.,아프리카 금맥 캐자… '집단지성·공공데이터' 결합,"문 대표는 “남아공, 케냐, 나이지리아 3곳만 제대로 알면 아프리카 전체 시장을 공략할 수 있다”며 “이들 지역 항만은 물류를 내륙으로 유통하는 플랫폼이 잘 갖춰져 있어 정확한 정보를 기반으로 전략을 세운다면 성공..."
2036,2017.05.16.,“선교대국 한국과 침례교 동역 땐 세계 선교 새로운 전기 마련될 것”,이어 “나이지리아 등 세계 각국에서 여전히 그리스도인들이 핍박을 받고 있다”며 “그들이 신앙의 자유를 누릴 수 있도록 함께 기도해 달라”고 당부했다. 므시자 목사는 “첫 한국 방문에 앞서 한국에 대한 책을...
2037,2017.05.16.,"예열 끝낸 신태용號 삼각편대, 4강 넘어 '결승' 새 역사 쓴다",이승우-백승호의 FC바르셀로나 듀오를 앞세운 한국은 내심 1999년 나이지리아 대회에서 일본이 세운 아시아국가 최고 성적(준우승)까지 노리는 눈치다. 파주 축구대표팀트레이닝센터(NFC)에서 훈련하던 대표팀은 16일...
2038,2017.05.16.,"정명진 코스모진 대표 ""교황도 할리우드 스타도 맞춤 의전관광에 찬사""",그 무렵 전 나이지리아 국방부 장관 부부가 한국을 찾았다. 출국 직전 장관 부인이 갑자기 ‘한식당에서 먹은 멸치볶음을 본국에 가져가고 싶다’고 요청했다. 이륙까지 네 시간 남아 촉박한 상황이라 정 대표는 공항...
2039,2017.05.16.,[길재식의 핀테크 FUN테크]<3>핀테크 오브 아프리카(상),나이지리아에서는 2002년에 설립된 벤처 인터스위치가 정부〃기업 대상 온라인 결제시스템을 개발하는데 성공했다. 최신 선진 기술과 모델을 보유해야만 핀테크 시장에서 성공한다는 공식을 깨트렸다. 아프리카 특유의...
2040,2017.05.10.,아프리카에 LG전자레인지 떴다,10일 업계에 따르면 LG전자는 국내에서 광파 오븐으로 불리고 있는 '네오 셰프' 전자레인지를 나이지리아에 출시한다. 이 회사는 아프리카 서부의 중심인 나이지리아를 시작으로 출시 지역을 확대할 계획이다. 이 제품은...
2041,2017.05.11.,"[포럼]새정부, 공정한 거래질서부터 확립하라",특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로 변해왔는지를...
2042,2017.05.11.,[KOTRA 수출노하우]대범해지는 나이지리아 무역사기,특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로...
2043,2017.05.12.,"보코하람서 풀려난 소녀들, 3년만에 학교로",나이지리아 “103명 9월 복학” 이슬람 극단주의 무장세력 보코하람에 납치됐다가 3년 만에 풀려난 나이지리아 소녀들이 9월부터 학교로 돌아가 공부를 다시 시작한다. 11일 BBC 등에 따르면 이이샤 알하산 나이지리아...
2044,2017.05.15.,"삼성重 '안전 정상화', 9兆 일감 3달 안에 소화","여기에 더해 2주만에 사실상 모든 작업 재개로 오는 8월 설치 지역인 나이지리아 해역으로 출항 예정던 에지나 FPSO(부유식 원유 생산·저장·하역설비, 30억달러)의 작업도 다시 속도를 낼 수 있게 됐다. 삼성중공업..."
2045,2017.05.15.,아프리카 금맥 캐자… '집단지성·공공데이터' 결합,"문 대표는 “남아공, 케냐, 나이지리아 3곳만 제대로 알면 아프리카 전체 시장을 공략할 수 있다”며 “이들 지역 항만은 물류를 내륙으로 유통하는 플랫폼이 잘 갖춰져 있어 정확한 정보를 기반으로 전략을 세운다면 성공..."
2046,2017.05.16.,“선교대국 한국과 침례교 동역 땐 세계 선교 새로운 전기 마련될 것”,이어 “나이지리아 등 세계 각국에서 여전히 그리스도인들이 핍박을 받고 있다”며 “그들이 신앙의 자유를 누릴 수 있도록 함께 기도해 달라”고 당부했다. 므시자 목사는 “첫 한국 방문에 앞서 한국에 대한 책을...
2047,2017.05.16.,"예열 끝낸 신태용號 삼각편대, 4강 넘어 '결승' 새 역사 쓴다",이승우-백승호의 FC바르셀로나 듀오를 앞세운 한국은 내심 1999년 나이지리아 대회에서 일본이 세운 아시아국가 최고 성적(준우승)까지 노리는 눈치다. 파주 축구대표팀트레이닝센터(NFC)에서 훈련하던 대표팀은 16일...
2048,2017.05.16.,"정명진 코스모진 대표 ""교황도 할리우드 스타도 맞춤 의전관광에 찬사""",그 무렵 전 나이지리아 국방부 장관 부부가 한국을 찾았다. 출국 직전 장관 부인이 갑자기 ‘한식당에서 먹은 멸치볶음을 본국에 가져가고 싶다’고 요청했다. 이륙까지 네 시간 남아 촉박한 상황이라 정 대표는 공항...
2049,2017.05.16.,[길재식의 핀테크 FUN테크]<3>핀테크 오브 아프리카(상),나이지리아에서는 2002년에 설립된 벤처 인터스위치가 정부〃기업 대상 온라인 결제시스템을 개발하는데 성공했다. 최신 선진 기술과 모델을 보유해야만 핀테크 시장에서 성공한다는 공식을 깨트렸다. 아프리카 특유의...
2050,2017.05.10.,아프리카에 LG전자레인지 떴다,10일 업계에 따르면 LG전자는 국내에서 광파 오븐으로 불리고 있는 '네오 셰프' 전자레인지를 나이지리아에 출시한다. 이 회사는 아프리카 서부의 중심인 나이지리아를 시작으로 출시 지역을 확대할 계획이다. 이 제품은...
2051,2017.05.11.,"[포럼]새정부, 공정한 거래질서부터 확립하라",특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로 변해왔는지를...
2052,2017.05.11.,[KOTRA 수출노하우]대범해지는 나이지리아 무역사기,특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로...
2053,2017.05.12.,"보코하람서 풀려난 소녀들, 3년만에 학교로",나이지리아 “103명 9월 복학” 이슬람 극단주의 무장세력 보코하람에 납치됐다가 3년 만에 풀려난 나이지리아 소녀들이 9월부터 학교로 돌아가 공부를 다시 시작한다. 11일 BBC 등에 따르면 이이샤 알하산 나이지리아...
2054,2017.05.15.,"삼성重 '안전 정상화', 9兆 일감 3달 안에 소화","여기에 더해 2주만에 사실상 모든 작업 재개로 오는 8월 설치 지역인 나이지리아 해역으로 출항 예정던 에지나 FPSO(부유식 원유 생산·저장·하역설비, 30억달러)의 작업도 다시 속도를 낼 수 있게 됐다. 삼성중공업..."
2055,2017.05.15.,아프리카 금맥 캐자… '집단지성·공공데이터' 결합,"문 대표는 “남아공, 케냐, 나이지리아 3곳만 제대로 알면 아프리카 전체 시장을 공략할 수 있다”며 “이들 지역 항만은 물류를 내륙으로 유통하는 플랫폼이 잘 갖춰져 있어 정확한 정보를 기반으로 전략을 세운다면 성공..."
2056,2017.05.16.,“선교대국 한국과 침례교 동역 땐 세계 선교 새로운 전기 마련될 것”,이어 “나이지리아 등 세계 각국에서 여전히 그리스도인들이 핍박을 받고 있다”며 “그들이 신앙의 자유를 누릴 수 있도록 함께 기도해 달라”고 당부했다. 므시자 목사는 “첫 한국 방문에 앞서 한국에 대한 책을...
2057,2017.05.16.,"예열 끝낸 신태용號 삼각편대, 4강 넘어 '결승' 새 역사 쓴다",이승우-백승호의 FC바르셀로나 듀오를 앞세운 한국은 내심 1999년 나이지리아 대회에서 일본이 세운 아시아국가 최고 성적(준우승)까지 노리는 눈치다. 파주 축구대표팀트레이닝센터(NFC)에서 훈련하던 대표팀은 16일...
2058,2017.05.16.,"정명진 코스모진 대표 ""교황도 할리우드 스타도 맞춤 의전관광에 찬사""",그 무렵 전 나이지리아 국방부 장관 부부가 한국을 찾았다. 출국 직전 장관 부인이 갑자기 ‘한식당에서 먹은 멸치볶음을 본국에 가져가고 싶다’고 요청했다. 이륙까지 네 시간 남아 촉박한 상황이라 정 대표는 공항...
2059,2017.05.16.,[길재식의 핀테크 FUN테크]<3>핀테크 오브 아프리카(상),나이지리아에서는 2002년에 설립된 벤처 인터스위치가 정부〃기업 대상 온라인 결제시스템을 개발하는데 성공했다. 최신 선진 기술과 모델을 보유해야만 핀테크 시장에서 성공한다는 공식을 깨트렸다. 아프리카 특유의...
2060,2017.05.10.,아프리카에 LG전자레인지 떴다,10일 업계에 따르면 LG전자는 국내에서 광파 오븐으로 불리고 있는 '네오 셰프' 전자레인지를 나이지리아에 출시한다. 이 회사는 아프리카 서부의 중심인 나이지리아를 시작으로 출시 지역을 확대할 계획이다. 이 제품은...
2061,2017.05.11.,"[포럼]새정부, 공정한 거래질서부터 확립하라",특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로 변해왔는지를...
2062,2017.05.11.,[KOTRA 수출노하우]대범해지는 나이지리아 무역사기,특히 나이지리아 사기는 국제적으로 이미 널리 알려져 있지만 아직도 한국 업체의 피해가 계속되고 있다.... 수출경험이 없던 A사가 나이지리아에서 예방한 무역사기는 무역사기범들이 교활하고 지능적으로...
2063,2017.05.12.,"보코하람서 풀려난 소녀들, 3년만에 학교로",나이지리아 “103명 9월 복학” 이슬람 극단주의 무장세력 보코하람에 납치됐다가 3년 만에 풀려난 나이지리아 소녀들이 9월부터 학교로 돌아가 공부를 다시 시작한다. 11일 BBC 등에 따르면 이이샤 알하산 나이지리아...
2064,2017.05.15.,"삼성重 '안전 정상화', 9兆 일감 3달 안에 소화","여기에 더해 2주만에 사실상 모든 작업 재개로 오는 8월 설치 지역인 나이지리아 해역으로 출항 예정던 에지나 FPSO(부유식 원유 생산·저장·하역설비, 30억달러)의 작업도 다시 속도를 낼 수 있게 됐다. 삼성중공업..."
2065,2017.05.15.,아프리카 금맥 캐자… '집단지성·공공데이터' 결합,"문 대표는 “남아공, 케냐, 나이지리아 3곳만 제대로 알면 아프리카 전체 시장을 공략할 수 있다”며 “이들 지역 항만은 물류를 내륙으로 유통하는 플랫폼이 잘 갖춰져 있어 정확한 정보를 기반으로 전략을 세운다면 성공..."
2066,2017.05.16.,“선교대국 한국과 침례교 동역 땐 세계 선교 새로운 전기 마련될 것”,이어 “나이지리아 등 세계 각국에서 여전히 그리스도인들이 핍박을 받고 있다”며 “그들이 신앙의 자유를 누릴 수 있도록 함께 기도해 달라”고 당부했다. 므시자 목사는 “첫 한국 방문에 앞서 한국에 대한 책을...
