,date,title,summary
2105,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
2106,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
2107,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
2108,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
2109,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
2110,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
2111,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
2112,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
2113,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
2114,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
2115,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
2116,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
2117,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
2118,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
2119,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
2120,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
2121,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
2122,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
2123,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
2124,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
2125,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
2126,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
2127,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
2128,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
2129,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
2130,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
2131,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
2132,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
2133,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
2134,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
2135,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
2136,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
2137,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
2138,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
2139,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
2140,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
2141,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
2142,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
2143,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
